KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
SEA-PPTRJ;Tarjun;Pelabuhan;Pelabuhan Penyeberangan;-3.272615277777778;116.1217305555555
SEA-TEG;Tegal;Pelabuhan;Pelabuhan Laut;-6.85131111111111;109.1381388888889
SEA-TGU;Telaga Biru;Pelabuhan;Pelabuhan Laut;-6.885124999999999;113.0855555555555
SEA-PPTPR;Telaga Punggur;Pelabuhan;Pelabuhan Penyeberangan;1.033694444444444;104.13175
SEA-OBJECTOBJECT-41;Teluk Bara;Pelabuhan;Pelabuhan Penyeberangan;-3.16977214014327;126.224122216928
SEA-MNB;Teluk Batang;Pelabuhan;Pelabuhan Laut;-0.9996166666666666;109.7640333333333
SEA-TBB;Teluk Batang;Pelabuhan;Pelabuhan Penyeberangan;-1.01;109.7683333333333
SEA-TBY;Teluk Bayur;Pelabuhan;Pelabuhan Laut;-0.9962805555555555;100.3751805555555
SEA-TBS;Teluk Bungus;Pelabuhan;Pelabuhan Penyeberangan;-1.030077777777778;100.3995388888889
SEA-TDA;Teluk Dalam;Pelabuhan;Pelabuhan Laut;0.5550833333333334;97.82141388888888
SEA-PPTDL;Teluk Dalam;Pelabuhan;Pelabuhan Penyeberangan;-0.5551740000000001;97.821454
SEA-OBJECTOBJECT-42;Teluk Gurita;Pelabuhan;Pelabuhan Penyeberangan;-9.011136111111112;124.8112472222222
SEA-LIG;Teluk Leidong;Pelabuhan;Pelabuhan Laut;2.750969444444444;99.98098888888889
SEA-PTL;Teluk Palu;Pelabuhan;Pelabuhan Laut;-0.7112055555555555;119.8560444444444
SEA-TTN;Teluk Sigintung;Pelabuhan;Pelabuhan Laut;-3.332858333333333;112.3795444444444
SEA-TLN;Tembilahan;Pelabuhan;Pelabuhan Laut;-0.3276527777777777;103.1603694444445
SEA-TXM;Teminabuan;Pelabuhan;Pelabuhan Laut;-1.441461111111111;132.0076027777778
SEA-TEI;Ternate;Pelabuhan;Pelabuhan Laut;-0.7612915;127.4484253
SEA-TGR;Tigaras;Pelabuhan;Pelabuhan Penyeberangan;2.798395628;98.78883133
SEA-TAA;Tilamuta;Pelabuhan;Pelabuhan Laut;0.5076833333333334;122.3547361111111
SEA-PPLSS;Tobaku;Pelabuhan;Pelabuhan Penyeberangan;-3.4145;120.8876111111111
SEA-TBO;Tobelo;Pelabuhan;Pelabuhan Laut;1.723325;128.0156111111111
SEA-TBO-1;Tobelo;Pelabuhan;Pelabuhan Penyeberangan;-1.766888888888889;127.9823916666667
SEA-PPTLO;Tolandona;Pelabuhan;Pelabuhan Penyeberangan;-5.366055555555556;122.6162777777778
SEA-TLI;Toli-Toli;Pelabuhan;Pelabuhan Laut;1.050483333333333;120.7999833333333
SEA-TTO;Toli-Toli;Pelabuhan;Pelabuhan Penyeberangan;1.037336111111111;120.8084777777778
SEA-PPTMI;Tomia;Pelabuhan;Pelabuhan Penyeberangan;-5.751527777777778;123.8973888888889
SEA-PPTDS;Tondasi;Pelabuhan;Pelabuhan Penyeberangan;-4.73875;122.3745555555555
SEA-PPTRB;Torobulu;Pelabuhan;Pelabuhan Penyeberangan;-4.445166666666667;122.454
SEA-TUA;Tual;Pelabuhan;Pelabuhan Laut;-5.634069444444444;132.7412916666667
SEA-PPTAL;Tual;Pelabuhan;Pelabuhan Penyeberangan;-5.633611111111111;132.7422222222222
